cleaned_text,created_at,follower_count,profile_image,retweets,sentiment,text,tweet_id,user_name,user_url
While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases #ModiSarkar continues its…,2019-02-05 21:15:42,12635,https://pbs.twimg.com/profile_images/1042673405890371584/GUY6DZmT_normal.jpg,198,negative,"@ShahnawazBJP: While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases, #ModiSarkar continues its…",1092894558709518342,Atif Rasheed,https://twitter.com/AtifBjp
While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases #ModiSarkar continues its…,2019-02-05 20:45:04,177,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,198,negative,"@ShahnawazBJP: While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases, #ModiSarkar continues its…",1092886849893355520,Manish Singh,https://twitter.com/manishsingh431
A stopover at ongoing construction site of Chandel -Chakpikarong road via Sugnu in Manipur Interact with the workers that th…,2019-02-05 19:54:59,42,https://pbs.twimg.com/profile_images/1088712822534561792/KwkPfmoY_normal.jpg,11,neutral,@wangg456: A stopover at ongoing construction site of Chandel -Chakpikarong road via Sugnu in Manipur. Interact with the workers that th…,1092874247330885632,deepak khandelwal,https://twitter.com/deepkhan82
_i_can_ Will PAKISTAN be able to Score 250 or more tomorrow against In form INDIA #PAKvIND #PAKvIND #PAKvAFG #INDVPAK #Indian #M…,2019-02-05 18:55:06,75,https://pbs.twimg.com/profile_images/1084298451125440513/0q6SqJBu_normal.jpg,2,positive,"@only_i_can_: Will PAKISTAN be able to Score 250 or more tomorrow against In form INDIA? #PAKvIND #PAKvIND #PAKvAFG #INDVPAK 
#Indian #M…",1092859177800744961,Syed Muhammad Ali,https://twitter.com/SyedMuh99769949
_i_can_ Guys Grab your keyboards and start trending #HypocriteModi as now Its the time to expose the Modi Sarkar and make it worl…,2019-02-05 18:54:51,75,https://pbs.twimg.com/profile_images/1084298451125440513/0q6SqJBu_normal.jpg,5,neutral,"@only_i_can_: Guys, Grab your keyboards and start trending #HypocriteModi as now Its the time to expose the Modi Sarkar and make it worl…",1092859113552465928,Syed Muhammad Ali,https://twitter.com/SyedMuh99769949
आर्थि रू स कमजो सामान् वर् क #छात्रो क मोद सरका क तोहफा निज सरकार शिक्ष संस्थानो मे इस सत् स मि…,2019-02-05 18:52:56,1009,https://pbs.twimg.com/profile_images/1070520549724573696/BbLBWBcK_normal.jpg,16,neutral,"@nkishoreyadav: आर्थिक रूप से कमजोर सामान्य वर्ग के #छात्रों को मोदी सरकार का तोहफा

• निजी व सरकारी शिक्षण संस्थानों में इसी सत्र से मि…",1092858632121798656,Bhola  Mishra(Chandan),https://twitter.com/Bholamishrabjp
ा मे TMC क गुंडागर्द क घमं हु ता ता बंगा मे निच्चि हु #ModiSarkar,2019-02-05 18:27:54,117,https://pbs.twimg.com/profile_images/1092651327853871104/GuR-nJTM_normal.jpg,1,neutral,ाल में TMC की गुंडागर्दी @myogiadityanath. @MamtaBanarjee का घमंड हुआ तार तार बंगाल में निच्चित हुई #ModiSarkar… https://t.co/AOZCS0Vj6q,1092852331035660288,Prachi khurana,https://twitter.com/Prachikhurana6
wala Yojana scheme became 2nd largest scheme in the world #UjjwalaYojana #SabkaSaathSabkaVikas #NewIndia,2019-02-05 18:25:24,16,https://pbs.twimg.com/profile_images/378800000744341765/901c7c283cf5d70df9fda160ef11c05a_normal.jpeg,0,neutral,wala Yojana scheme became 2nd largest scheme in the world 🌏 #UjjwalaYojana #SabkaSaathSabkaVikas #NewIndia… https://t.co/uzlVsZUdnB,1092851702879797248,SUMEET_7 ♣,https://twitter.com/SUMEETGOSWAMI
#ModiSeNaHoPayega #Thanks to this guy becoz of whom we were able to know the #employment rate in #India w…,2019-02-05 18:06:39,56,https://pbs.twimg.com/profile_images/891537231667752960/i95BoHeD_normal.jpg,1,positive,"@DterminedDreamr: #ModiSeNaHoPayega
#Thanks to this guy becoz of whom we were able to know the #employment rate in #India. @someshjha7 w…",1092846983377645568,A.Lannister,https://twitter.com/AliasgarPip11
While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases #ModiSarkar continues its…,2019-02-05 18:05:48,23,https://pbs.twimg.com/profile_images/1048581503116922881/WouXx3Lk_normal.jpg,198,negative,"@ShahnawazBJP: While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases, #ModiSarkar continues its…",1092846768306278400,ABDUL WAHID KHAN,https://twitter.com/ABDULWA98298839
